2026-04-13 17:50:10.818 INFO  (qtp324404955-63-null-22) [ x:nomologia t:null-22] o.a.s.c.S.Request path=/select params={facet.field=dikastirio&facet.field=etos&facet.field=katigoria&hl=true&hl.fragsize=200&start=0&rows=10&hl.simple.pre=<mark>&hl.snippets=3&q=αποφα&defType=edismax&hl.simple.post=</mark>&qf=titlos^3+arithmos^5+periexomeno&hl.fl=periexomeno&facet=true&wt=json} hits=0 status=0 QTime=1
2026-04-13 17:50:11.065 WARN  (qtp324404955-64-null-23) [ x:nomologia t:null-23] o.a.s.r.SimpleFacets Raising facet.mincount from 0 to 1, because field etos is Points-based.
2026-04-13 17:50:11.069 INFO  (qtp324404955-64-null-23) [ x:nomologia t:null-23] o.a.s.c.S.Request path=/select params={facet.field=dikastirio&facet.field=etos&facet.field=katigoria&hl=true&hl.fragsize=200&start=0&rows=10&hl.simple.pre=<mark>&hl.snippets=3&q=αποφαση+&defType=edismax&hl.simple.post=</mark>&qf=titlos^3+arithmos^5+periexomeno&hl.fl=periexomeno&facet=true&wt=json} hits=1 status=0 QTime=5
2026-04-13 17:50:11.291 WARN  (qtp324404955-85-null-24) [ x:nomologia t:null-24] o.a.s.r.SimpleFacets Raising facet.mincount from 0 to 1, because field etos is Points-based.
2026-04-13 17:50:11.294 INFO  (qtp324404955-85-null-24) [ x:nomologia t:null-24] o.a.s.c.S.Request path=/select params={facet.field=dikastirio&facet.field=etos&facet.field=katigoria&hl=true&hl.fragsize=200&start=0&rows=10&hl.simple.pre=<mark>&hl.snippets=3&q=αποφαση&defType=edismax&hl.simple.post=</mark>&qf=titlos^3+arithmos^5+periexomeno&hl.fl=periexomeno&facet=true&wt=json} hits=1 status=0 QTime=4
2026-04-13 17:50:11.516 WARN  (qtp324404955-86-null-25) [ x:nomologia t:null-25] o.a.s.r.SimpleFacets Raising facet.mincount from 0 to 1, because field etos is Points-based.
2026-04-13 17:50:11.520 INFO  (qtp324404955-86-null-25) [ x:nomologia t:null-25] o.a.s.c.S.Request path=/select params={facet.field=dikastirio&facet.field=etos&facet.field=katigoria&hl=true&hl.fragsize=200&start=0&rows=10&hl.simple.pre=<mark>&hl.snippets=3&q=αποφαση+2&defType=edismax&hl.simple.post=</mark>&qf=titlos^3+arithmos^5+periexomeno&hl.fl=periexomeno&facet=true&wt=json} hits=1 status=0 QTime=14
2026-04-13 17:50:11.769 WARN  (qtp324404955-56-null-26) [ x:nomologia t:null-26] o.a.s.r.SimpleFacets Raising facet.mincount from 0 to 1, because field etos is Points-based.
2026-04-13 17:50:11.772 INFO  (qtp324404955-56-null-26) [ x:nomologia t:null-26] o.a.s.c.S.Request path=/select params={facet.field=dikastirio&facet.field=etos&facet.field=katigoria&hl=true&hl.fragsize=200&start=0&rows=10&hl.simple.pre=<mark>&hl.snippets=3&q=αποφαση+202&defType=edismax&hl.simple.post=</mark>&qf=titlos^3+arithmos^5+periexomeno&hl.fl=periexomeno&facet=true&wt=json} hits=1 status=0 QTime=4
2026-04-13 17:50:11.994 WARN  (qtp324404955-57-null-27) [ x:nomologia t:null-27] o.a.s.r.SimpleFacets Raising facet.mincount from 0 to 1, because field etos is Points-based.
2026-04-13 17:50:11.996 INFO  (qtp324404955-57-null-27) [ x:nomologia t:null-27] o.a.s.c.S.Request path=/select params={facet.field=dikastirio&facet.field=etos&facet.field=katigoria&hl=true&hl.fragsize=200&start=0&rows=10&hl.simple.pre=<mark>&hl.snippets=3&q=αποφαση+202&defType=edismax&hl.simple.post=</mark>&qf=titlos^3+arithmos^5+periexomeno&hl.fl=periexomeno&facet=true&wt=json} hits=1 status=0 QTime=3
2026-04-13 17:50:12.279 WARN  (qtp324404955-58-null-28) [ x:nomologia t:null-28] o.a.s.r.SimpleFacets Raising facet.mincount from 0 to 1, because field etos is Points-based.
2026-04-13 17:50:12.282 INFO  (qtp324404955-58-null-28) [ x:nomologia t:null-28] o.a.s.c.S.Request path=/select params={facet.field=dikastirio&facet.field=etos&facet.field=katigoria&hl=true&hl.fragsize=200&start=0&rows=10&hl.simple.pre=<mark>&hl.snippets=3&q=αποφαση+20&defType=edismax&hl.simple.post=</mark>&qf=titlos^3+arithmos^5+periexomeno&hl.fl=periexomeno&facet=true&wt=json} hits=1 status=0 QTime=4
2026-04-13 17:50:12.501 WARN  (qtp324404955-94-null-29) [ x:nomologia t:null-29] o.a.s.r.SimpleFacets Raising facet.mincount from 0 to 1, because field etos is Points-based.
2026-04-13 17:50:12.504 INFO  (qtp324404955-94-null-29) [ x:nomologia t:null-29] o.a.s.c.S.Request path=/select params={facet.field=dikastirio&facet.field=etos&facet.field=katigoria&hl=true&hl.fragsize=200&start=0&rows=10&hl.simple.pre=<mark>&hl.snippets=3&q=αποφαση+202&defType=edismax&hl.simple.post=</mark>&qf=titlos^3+arithmos^5+periexomeno&hl.fl=periexomeno&facet=true&wt=json} hits=1 status=0 QTime=3
2026-04-13 17:50:17.631 WARN  (qtp324404955-59-null-30) [ x:nomologia t:null-30] o.a.s.r.SimpleFacets Raising facet.mincount from 0 to 1, because field etos is Points-based.
2026-04-13 17:50:17.633 INFO  (qtp324404955-59-null-30) [ x:nomologia t:null-30] o.a.s.c.S.Request path=/select params={facet.field=dikastirio&facet.field=etos&facet.field=katigoria&hl=true&hl.fragsize=200&start=0&rows=10&hl.simple.pre=<mark>&hl.snippets=3&q=αποφαση+203&defType=edismax&hl.simple.post=</mark>&qf=titlos^3+arithmos^5+periexomeno&hl.fl=periexomeno&facet=true&wt=json} hits=1 status=0 QTime=3
2026-04-13 17:57:44.522 INFO  (qtp324404955-61-null-34) [ t:null-34] o.a.s.s.HttpSolrCall [admin] path=/admin/info/properties params={wt=json&_=1776103063244} status=0 QTime=0
2026-04-13 17:57:44.526 INFO  (qtp324404955-63-null-32) [ t:null-32] o.a.s.s.HttpSolrCall [admin] path=/admin/cores params={indexInfo=false&wt=json&_=1776103063222} status=0 QTime=4
2026-04-13 17:57:44.539 INFO  (qtp324404955-96-null-33) [ t:null-33] o.a.s.s.HttpSolrCall [admin] path=/admin/info/system params={wt=json&_=1776103063222} status=0 QTime=17
2026-04-13 18:00:14.459 WARN  (qtp324404955-86-null-35) [ x:nomologia t:null-35] o.a.s.r.SimpleFacets Raising facet.mincount from 0 to 1, because field etos is Points-based.
2026-04-13 18:00:14.460 INFO  (qtp324404955-86-null-35) [ x:nomologia t:null-35] o.a.s.c.S.Request path=/select params={facet.field=dikastirio&facet.field=etos&facet.field=katigoria&hl=true&hl.fragsize=200&start=0&rows=10&hl.simple.pre=<mark>&hl.snippets=3&q=2&defType=edismax&hl.simple.post=</mark>&qf=titlos^3+arithmos^5+periexomeno&hl.fl=periexomeno&facet=true&wt=json} hits=1 status=0 QTime=2
2026-04-13 18:00:14.675 WARN  (qtp324404955-56-null-36) [ x:nomologia t:null-36] o.a.s.r.SimpleFacets Raising facet.mincount from 0 to 1, because field etos is Points-based.
